text,start,stop
you have your own retail space so to,00:02:50.720,00:02:53.110
speak your customers are opening up,00:02:53.120,00:02:54.949
their backyards exactly you guys do i,00:02:54.959,00:02:56.630
understand that right you got that,00:02:56.640,00:02:57.589
perfectly so,00:02:57.599,00:02:58.869
what do i get paid for allowing that to,00:02:58.879,00:03:00.710
happen yeah so we're testing uh that,00:03:00.720,00:03:02.550
right now and uh you you're expected to,00:03:02.560,00:03:04.869
make about 20 to 50 dollars per visit,00:03:04.879,00:03:07.110
and the platform that we built when you,00:03:07.120,00:03:08.710
you have to book a visit you can't just,00:03:08.720,00:03:09.750
show up to somebody's home randomly,00:03:09.760,00:03:11.190
right thank you so much 750 000. four,00:03:11.200,00:03:14.309
percent puts 18,00:03:14.319,00:03:16.790
eight,00:03:16.800,00:03:17.589
18.7 million yes why is this worth 18,00:03:17.599,00:03:21.190
plus million dollars so kevin they're,00:03:21.200,00:03:23.190
they're so the outdoor furniture market,00:03:23.200,00:03:24.630
in the u.s nine billion dollars oh,00:03:24.640,00:03:26.789
that's the worst answer,00:03:26.799,00:03:29.589
it's a very bad thing to say kevin how,00:03:29.599,00:03:31.430
big is the bankruptcy market in the u.s,00:03:31.440,00:03:33.110
it's really really big well go ahead,00:03:33.120,00:03:34.470
jake uh we we just launched about four,00:03:34.480,00:03:37.110
months ago and we did about eight,00:03:37.120,00:03:39.270
hundred thousand dollars in sales to,00:03:39.280,00:03:40.949
date you haven't made any money yet have,00:03:40.959,00:03:42.710
you uh we're not making money yet why 18,00:03:42.720,00:03:45.110
million what's the reason yeah um so we,00:03:45.120,00:03:48.550
first of all we just closed our last,00:03:48.560,00:03:49.830
round uh with our vc backed at what,00:03:49.840,00:03:51.910
valuation that was 13.5 million,00:03:51.920,00:03:53.670
valuation so you came into the shark,00:03:53.680,00:03:55.270
tank and raised it even more how much do,00:03:55.280,00:03:57.270
you project this year this year we're,00:03:57.280,00:03:59.110
going to close out at least a million,00:03:59.120,00:04:00.710
dollars next year we're projecting five,00:04:00.720,00:04:02.470
so how many partners do you have and,00:04:02.480,00:04:04.869
what percentage of the company do you,00:04:04.879,00:04:06.390
two own i own sixty percent carry on 25,00:04:06.400,00:04:10.070
and my family factory owns 15 so another,00:04:10.080,00:04:13.190
another answer to the valuation is,00:04:13.200,00:04:14.869
because we've actually taken out the,00:04:14.879,00:04:17.030
risk on the supply chain so they,00:04:17.040,00:04:18.469
essentially giving us that cost right,00:04:18.479,00:04:20.229
your family's subsidizing you by not,00:04:20.239,00:04:22.069
taking a margin because they own 15,00:04:22.079,00:04:24.629
percent of the business that's,00:04:24.639,00:04:26.830
right have to pay for the inventory,00:04:26.840,00:04:28.070
until we sell it that's interesting,00:04:28.080,00:04:30.469
so guys uh,00:04:30.479,00:04:32.870
you know the valuation is crazy you know,00:04:32.880,00:04:35.189
you're gonna,00:04:35.199,00:04:36.150
you only sold 800 000 hopefully 1.5 and,00:04:36.160,00:04:39.189
you're you're evaluating it over 18,00:04:39.199,00:04:41.670
million dollars you know exactly what's,00:04:41.680,00:04:43.510
going to happen to you here right so i'm,00:04:43.520,00:04:46.390
out so so for me coming from silicon,00:04:46.400,00:04:49.110
valley i'm used to seeing mass,00:04:49.120,00:04:50.950
evaluations all the time and and i i,00:04:50.960,00:04:53.510
frankly i way overpaid for a number of,00:04:53.520,00:04:55.430
deals that i think can potentially,00:04:55.440,00:04:56.950
change the world or actually have a huge,00:04:56.960,00:04:58.710
impact i don't think it's it's,00:04:58.720,00:05:00.150
world-changing for me so for that reason,00:05:00.160,00:05:03.029
i'm out,00:05:03.039,00:05:05.590
hey guys i think it's a great business,00:05:05.600,00:05:08.070
could it be 100 million dollar business,00:05:08.080,00:05:09.590
yeah it really could be but look at it,00:05:09.600,00:05:11.510
from my end right let's just say you do,00:05:11.520,00:05:13.749
200 million dollars sure and your,00:05:13.759,00:05:15.749
margins are 10 net margins you'd be,00:05:15.759,00:05:18.390
thrilled to death you're making 20,00:05:18.400,00:05:19.990
million dollars i'm making 5 of that,00:05:20.000,00:05:23.029
that's i mean that's not bad money but,00:05:23.039,00:05:25.350
the risk reward for versus what you're,00:05:25.360,00:05:27.350
asking just is not there well the,00:05:27.360,00:05:29.510
current d2c brands have a multiple of,00:05:29.520,00:05:31.670
anywhere from three yeah but that's,00:05:31.680,00:05:33.029
great you and you found the vcs that pay,00:05:33.039,00:05:35.189
those kind of multiples right that ain't,00:05:35.199,00:05:37.189
me that's not shark tank for those,00:05:37.199,00:05:38.950
reasons i'm out,00:05:38.960,00:05:42.150
i like it i i really do,00:05:42.160,00:05:44.310
but i don't need any disrespect to the,00:05:44.320,00:05:46.469
previous vcs,00:05:46.479,00:05:48.390
they are not mr wonderful i am,00:05:48.400,00:05:51.590
you may not like this offer but i'm,00:05:51.600,00:05:54.070
going to make it anyways,00:05:54.080,00:06:03.430
three sharks are out but kevin seems,00:06:03.440,00:06:05.830
interested in terry and jake's outdoor,00:06:05.840,00:06:07.909
furniture company outer you may not like,00:06:07.919,00:06:10.710
this offer but i'm going to make it,00:06:10.720,00:06:12.870
anyways now traditionally to get back my,00:06:12.880,00:06:15.990
capital i would want some kind of cash,00:06:16.000,00:06:18.070
flow in the form of you know maybe i'd,00:06:18.080,00:06:20.390
make it dead or maybe i'll make a,00:06:20.400,00:06:21.749
royalty but,00:06:21.759,00:06:23.189
i'm in a generous mood today i'm feeling,00:06:23.199,00:06:25.350
first,00:06:25.360,00:06:26.469
so,00:06:26.479,00:06:27.430
i'm going to give you 750 000,00:06:27.440,00:06:30.150
straight equity i want 20 percent,00:06:30.160,00:06:35.510
i don't care if he laughs he didn't give,00:06:35.520,00:06:37.110
you any money um,00:06:37.120,00:06:39.350
i want to hear lori,00:06:39.360,00:06:41.350
i love it i want to be part of it but,00:06:41.360,00:06:45.749
you've just started selling it how about,00:06:45.759,00:06:47.990
this,00:06:48.000,00:06:49.029
let me throw a different type of offer,00:06:49.039,00:06:50.710
at you,00:06:50.720,00:06:51.670
so give you a 750 000 loan,00:06:51.680,00:06:55.430
as a line of credit but i want 20 in,00:06:55.440,00:06:59.189
royalty per chair,00:06:59.199,00:07:01.189
the royalty until i get paid back the,00:07:01.199,00:07:03.589
750 into a million,00:07:03.599,00:07:06.070
and then at the end of the day i'll have,00:07:06.080,00:07:08.070
10,00:07:08.080,00:07:09.510
of the company you know grasshopper,00:07:09.520,00:07:11.270
you've learned from the master,00:07:11.280,00:07:13.589
that sounded like your kind of deal i,00:07:13.599,00:07:15.029
know there's only one mr wonderful and,00:07:15.039,00:07:17.510
he is amazing,00:07:17.520,00:07:19.830
i could easily do that deal and even,00:07:19.840,00:07:21.350
bait it because that's my kind of deal,00:07:21.360,00:07:22.790
she basically laurie learned that from,00:07:22.800,00:07:24.710
the master would you match that deal or,00:07:24.720,00:07:26.150
how would you beat that deal,00:07:26.160,00:07:27.830
if you want him to match my deal,00:07:27.840,00:07:30.550
and you would pick him then i'm going to,00:07:30.560,00:07:32.230
go out,00:07:32.240,00:07:33.110
and do that,00:07:33.120,00:07:34.710
i'll do it no i'll do the deal seriously,00:07:34.720,00:07:37.029
you're going to lose me and that you,00:07:37.039,00:07:38.790
will regret forever i'll do it,00:07:38.800,00:07:41.189
forever,00:07:41.199,00:07:42.790
let's,00:07:42.800,00:07:57.189
equity,00:07:57.199,00:07:58.629
that's ridiculous yeah baby,00:07:58.639,00:08:01.749
just to shake it up,00:08:01.759,00:08:03.430
make a decision make a decision guys,00:08:03.440,00:08:13.430
so i'll go for it yeah okay,00:08:13.440,00:08:15.589
all right so our counter to uh lori's,00:08:15.599,00:08:18.070
offer is um 750 000,00:08:18.080,00:08:20.869
uh in loan uh enrolled he will pay back,00:08:20.879,00:08:23.189
to the 750 and on the equity side we,00:08:23.199,00:08:25.189
would love to bring it down to four,00:08:25.199,00:08:26.309
percent what we ask for when we come in,00:08:26.319,00:08:29.029
you want me to get up every morning and,00:08:29.039,00:08:32.149
be like i can't wait to blow that up,00:08:32.159,00:08:35.029
i mean you need that passion you need,00:08:35.039,00:08:37.350
that and i'm worth it i'm worth it,00:08:37.360,00:08:40.469
kevin's willing to do five percent 750.,00:08:40.479,00:08:42.230
i think that's really attractive,00:08:42.240,00:08:44.070
but we do want to work with you i i feel,00:08:44.080,00:08:46.230
that connection so is there any way you,00:08:46.240,00:08:47.910
can match that we'll even throw in the,00:08:47.920,00:08:49.670
million dollars so it's a million dollar,00:08:49.680,00:08:51.269
pay back to the royalty but five people,00:08:51.279,00:08:52.790
you want to raise the royalty,00:08:52.800,00:08:54.790
uh the royalty like you want to kick up,00:08:54.800,00:08:57.350
the royalty and i'll go down in the,00:08:57.360,00:08:58.870
percentage you can afford it especially,00:08:58.880,00:09:01.030
with how many will sell,00:09:01.040,00:09:02.949
uh what's your offer on the royalty well,00:09:02.959,00:09:05.190
why don't we go to 30.,00:09:05.200,00:09:08.550
30 works i think 30 works,00:09:08.560,00:09:11.670
30 up until 1 million so 750 000 is a,00:09:11.680,00:09:15.590
loan okay i get 30 a chair until a,00:09:15.600,00:09:19.110
million okay it's paid off we'll make it,00:09:19.120,00:09:21.590
three percent interest and five percent,00:09:21.600,00:09:24.550
equity,00:09:24.560,00:09:32.150
let's do it lori do it,00:09:32.160,00:09:35.110
it's good this is so brilliant in the,00:09:35.120,00:09:37.509
outdoor space wait till they see the,00:09:37.519,00:09:39.030
other things honestly it's brilliant,00:09:39.040,00:09:41.110
we're working more products,00:09:41.120,00:09:42.310
congratulations guys thank you guys,00:09:42.320,00:09:45.190
thank you guys,00:09:45.200,00:10:06.069
you,00:10:06.079,00:10:08.160
